start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776243940652,1776243952010,down,11.36,140,0.548,0.209
1776243957457,1776243968099,down,10.64,-20,0.902,0.07
1776243973505,1776243986377,down,12.87,0,1.012,0.032
1776243991704,1776244008318,down,16.61,0,0.999,0.035
1776244013606,1776244024326,down,10.72,0,1.028,0.031
1776244030011,1776244042245,down,12.23,-20,0.992,0.054
1776244047452,1776244062950,down,15.5,-440,0.278,1.659
1776246011890,1776246045276,up,33.39,140,0.256,0.217
1776246049117,1776246064891,up,15.77,0,0.993,0.046
1776246067485,1776246083394,up,15.91,40,0.734,0.062
